ID,TARGET
0,1
1,1
2,1
3,5
4,2
5,1
6,3
7,1
8,2
9,5
10,4
11,2
12,3
13,5
14,1
15,0
16,1
17,2
18,1
19,2
20,3
21,1
22,5
23,5
24,5
25,1
26,5
27,5
28,4
29,2
30,5
31,2
32,5
33,4
34,5
35,1
36,5
37,2
38,1
39,2
40,5
41,4
42,1
43,5
44,3
45,1
46,5
47,1
48,1
49,5
50,2
51,3
52,1
53,5
54,4
55,4
56,2
57,5
58,2
59,4
60,2
61,2
62,5
63,5
64,3
65,3
66,4
67,3
68,1
69,4
70,1
71,2
72,2
73,3
74,3
75,4
76,5
77,3
78,2
79,2
80,1
81,2
82,5
83,5
84,0
85,3
86,2
87,3
88,2
89,5
90,3
91,2
92,2
93,2
94,3
95,1
96,5
97,5
98,1
99,5
100,1
101,5
102,1
103,4
104,1
105,5
106,2
107,4
108,4
109,1
110,4
111,1
112,1
113,1
114,1
115,1
116,2
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,3
127,3
128,1
129,5
130,1
131,1
132,2
133,4
134,4
135,1
136,2
137,1
138,1
139,1
140,4
141,5
142,4
143,4
144,1
145,5
146,1
147,5
148,5
149,1
150,5
151,5
152,3
153,2
154,2
155,2
156,3
157,4
158,5
159,2
160,3
161,3
162,2
163,2
164,2
165,2
166,2
167,4
168,4
169,5
170,5
171,2
172,2
173,1
174,4
175,2
176,4
177,1
178,1
179,3
180,3
181,1
182,2
183,1
184,2
185,3
186,4
187,5
188,1
189,4
190,2
191,1
192,5
193,3
194,4
195,1
196,4
197,4
198,1
199,1
200,4
201,5
202,1
203,4
204,5
205,4
206,4
207,4
208,4
209,1
210,4
211,4
212,5
213,4
214,5
215,5
216,4
217,4
218,2
219,4
220,2
221,5
222,3
223,3
224,5
225,5
226,4
227,2
228,5
229,4
230,2
231,1
232,3
233,3
234,5
235,5
236,1
237,4
238,2
239,2
240,2
241,5
242,3
243,2
244,3
245,1
246,3
247,1
248,3
249,5
250,1
251,3
252,5
253,2
254,3
255,2
256,2
257,5
258,2
259,1
260,4
261,3
262,1
263,2
264,5
265,3
266,1
267,3
268,3
269,2
270,3
271,3
272,4
273,5
274,2
275,5
276,3
277,1
278,4
279,1
280,1
281,4
282,5
283,4
284,4
285,3
286,5
287,4
288,1
289,2
290,4
291,2
292,3
293,4
294,1
295,1
296,4
297,5
298,1
299,4
300,2
301,1
302,1
303,5
304,1
305,5
306,5
307,1
308,2
309,2
310,1
311,1
312,1
313,1
314,1
315,1
316,5
317,2
318,1
319,1
320,5
321,1
322,1
323,1
324,1
325,4
326,1
327,1
328,1
329,1
330,1
331,3
332,3
333,2
334,4
335,1
336,3
337,3
338,3
339,1
340,3
341,3
342,3
343,4
344,1
345,1
346,1
347,1
348,2
349,1
350,1
351,3
352,1
353,2
354,4
355,4
356,3
357,3
358,2
359,1
360,1
361,2
362,1
363,1
364,5
365,5
366,1
367,2
368,2
369,5
370,1
371,1
372,2
373,1
374,2
375,1
376,1
377,3
378,1
379,5
380,2
381,5
382,4
383,2
384,2
385,4
386,1
387,3
388,3
389,2
390,5
391,4
392,2
393,3
394,3
395,5
396,3
397,2
398,3
399,1
400,5
401,2
402,2
403,5
404,5
405,5
406,1
407,1
408,4
409,1
410,1
411,1
412,1
413,5
414,4
415,5
416,2
417,5
418,1
419,5
420,1
421,1
422,1
423,2
424,1
425,1
426,2
427,4
428,3
429,2
430,1
431,5
432,3
433,2
434,1
435,1
436,5
437,2
438,3
439,4
440,1
441,4
442,0
443,4
444,3
445,3
446,3
447,3
448,4
449,4
450,1
451,1
452,1
453,5
454,1
455,2
456,5
457,4
458,5
459,1
460,3
461,4
462,1
463,1
464,4
465,3
466,1
467,1
468,4
469,2
470,3
471,2
472,2
473,3
474,2
475,2
476,4
477,5
478,5
479,5
480,2
481,5
482,2
483,2
484,2
485,5
486,4
487,1
488,1
489,1
490,1
491,2
492,5
493,2
494,2
495,4
496,2
497,5
498,5
499,3
500,5
501,5
502,3
503,2
504,2
505,1
506,5
507,2
508,0
509,4
510,1
511,5
512,5
513,5
514,5
515,1
516,3
517,1
518,4
519,1
520,4
521,1
522,2
523,4
524,5
525,1
526,5
527,1
528,1
529,1
530,5
531,2
532,4
533,1
534,3
535,1
536,4
537,3
538,1
539,2
540,4
541,2
542,3
543,4
544,1
545,5
546,1
547,1
548,5
549,5
550,1
551,1
552,5
553,4
554,1
555,0
556,1
557,2
558,5
559,1
560,1
561,2
562,2
563,4
564,4
565,1
566,1
567,4
568,4
569,1
570,1
571,5
572,2
573,2
574,5
575,3
576,4
577,2
578,2
579,2
580,1
581,4
582,3
583,3
584,3
585,4
586,1
587,1
588,1
589,1
590,4
591,1
592,2
593,2
594,3
595,2
596,1
597,2
598,3
599,5
600,4
601,1
602,2
603,2
604,5
605,1
606,3
607,1
608,1
609,4
610,1
611,5
612,4
613,1
614,1
615,2
616,1
617,4
618,1
619,4
620,1
621,2
622,1
623,1
624,1
625,1
626,5
627,1
628,5
629,1
630,1
631,4
632,1
633,5
634,5
635,1
636,4
637,1
638,1
639,3
640,3
641,1
642,2
643,2
644,5
645,1
646,5
647,4
648,5
649,4
650,1
651,2
652,2
653,1
654,3
655,2
656,2
657,3
658,2
659,2
660,3
661,1
662,4
663,5
664,1
665,1
666,4
667,1
668,1
669,4
670,1
671,1
672,1
673,1
674,1
675,4
676,4
677,4
678,4
679,5
680,1
681,2
682,1
683,5
684,2
685,1
686,1
687,1
688,4
689,4
690,1
691,4
692,1
693,1
694,5
695,1
696,1
697,1
698,4
699,1
700,1
701,5
702,4
703,1
704,1
705,3
706,3
707,5
708,5
709,5
710,5
711,5
712,1
713,4
714,5
715,1
716,1
717,4
718,5
719,2
720,4
721,2
722,4
723,2
724,3
725,1
726,4
727,3
728,1
729,5
730,1
731,1
732,4
733,2
734,1
735,4
736,4
737,3
738,5
739,3
740,1
741,1
742,1
743,2
744,2
745,4
746,2
747,3
748,1
749,4
750,1
751,5
752,1
753,1
754,5
755,5
756,1
757,1
758,1
759,5
760,4
761,5
762,4
763,2
764,5
765,5
766,1
767,5
768,1
769,5
770,3
771,5
772,2
773,5
774,5
775,2
776,2
777,1
778,3
779,2
780,5
781,4
782,3
783,1
784,4
785,1
786,3
787,3
788,3
789,3
790,1
791,4
792,3
793,5
794,4
795,5
796,2
797,5
798,3
799,4
800,2
801,2
802,2
803,3
804,2
805,2
806,3
807,5
808,4
809,2
810,2
811,1
