id,filename,hypo
0,audio_0.wav,тревожная музыка
1,audio_1.wav,ого
2,audio_2.wav,потише жрём прак на дремлю сюда иди если садишь
3,audio_3.wav,— слышали не понял
4,audio_4.wav,быстро за мной
5,audio_5.wav,ты где весь сентябрь уроки прогулял ну вообще
6,audio_6.wav,наркоманить телевизор твои дома вынесет ну мам ну областная клиническая больница где ты взял такую печать
7,audio_7.wav,я в топтридцать побатил тимсдва
8,audio_8.wav,у меня реакция — сто сорок миллисекунд витя только прошу не убивай его
9,audio_9.wav,значит агелев завтрашнего дня берешься за лун и наверз ты все что пропустил и никакого тебе компьютера
10,audio_10.wav,пока не закончишь четверть без трое
11,audio_11.wav,отлично выглядишь у тебя ремиссия поздравляю
12,audio_12.wav,блин ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно ладно
13,audio_13.wav,долго
14,audio_14.wav,тихо
15,audio_15.wav,тревожная музыка
16,audio_16.wav,подписаться на наш канал
17,audio_17.wav,нужно както подмаскать чтобы они почувствовали себя важными они короче теперь курируют проект
18,audio_18.wav,алиса
19,audio_19.wav,в общем все что ты могла ты уже сделала поэтому просто сядь зал и расслабься кстати у меня для тебя еще сюрпризигнулеще один
20,audio_20.wav,девушка
21,audio_21.wav,я всех рад вас видеть в этом замечательном месте как известно центрион занимается поиском и поддержкой талантливой волонки в жизни
22,audio_22.wav,чего встал еще не си
23,audio_23.wav,тревожная музыка
24,audio_24.wav,тихо
25,audio_25.wav,всем слава ты карпатыч соревнователь запоздания
26,audio_26.wav,ну и
27,audio_27.wav,подпишем контракт но будет жестко и будем смотреть не только тебя а рабочий день по десять часов точно готов
28,audio_28.wav,а вот и тут дать
29,audio_29.wav,да конечно пацаны мне лишь бы возможность я вывезу вывезу окей тогда на связи сообщу чьу как до свиданья
30,audio_30.wav,ха
31,audio_31.wav,нашем местах не занят преждеак так кто их замет если бы тут круглосуточно
32,audio_32.wav,как вас еще не отчислили снавши шарагише ты чего надо такого сделать
33,audio_33.wav,номер сорок семь основан… – колич – а колич колич номер сорок семь основан… хрестный от каком году
34,audio_34.wav,давайте посмотрим как у нас проходит обычная пара
35,audio_35.wav,не будем мешать занятийзаметили в аудитории есть свободные места но ни одному прогульщику не сойдет это с рук
36,audio_36.wav,в конце семестра каждый будет обязан скачать и распечатать рефера из минусов в мужском толчке нет дверей
37,audio_37.wav,молодой человек вы бы еще посреди мая позвонили набор колес закрыт год учебный идет – и никаких исключений нет совсем – ну а…
38,audio_38.wav,у нас есть какието особые достижения вряд ли к нам такие не приходят так что ждем вас в следующем году не мешайте работать
39,audio_39.wav,телефоннова
40,audio_40.wav,а есть цветной принтер задача нашего чемпионата
41,audio_41.wav,не просто развивать но и поощрять интерес к точным наукам и мы сделаем все чтобы наши ребята
42,audio_42.wav,в сфере itтехнологий были впереди планеты всей ну я и моя команда для этого делает все
43,audio_43.wav,как говорится не спим работай мне покладай рук пожалуйста
44,audio_44.wav,а у вас в буклете указано что в конкурсе будет целых семь этапов а почему так много
45,audio_45.wav,ну а почему бы и нет
46,audio_46.wav,потому что я к четыре вам даже в буклет было лень заклинуть да
47,audio_47.wav,очевидного девушки сегодня плохое настроение очевидно встало не стоит найти
48,audio_48.wav,это возможно лучшая нервная срывгода еще и от лица компании теперь все наши контракты с министерством под вопросом алиса
49,audio_49.wav,но они такие приехали вали – да кто тебе сказал вали дура я тебе вообще место зама готовил
50,audio_50.wav,не может быть и не будет алисенька потому что ты решил устроить стендап и всех нас утопить
51,audio_51.wav,ну может смеется неинтересно – неинтересно да
52,audio_52.wav,человек прожил двадцать два часа в постикита ого в общем ты уволил
53,audio_53.wav,динамичная музыка
54,audio_54.wav,динамичная музыка
55,audio_55.wav,редактор субтитров нновикова корректор акулакова
56,audio_56.wav,танцовский
57,audio_57.wav,подписаться на наш канал и подписаться на наш канал
58,audio_58.wav,а
59,audio_59.wav,редактор субтитров нновикова корректор акулакова
60,audio_60.wav,динамичная музыка
61,audio_61.wav,торжественно
62,audio_62.wav,динамичная музыка
63,audio_63.wav,подписаться на наш канал
64,audio_64.wav,какой он мир современной девушке
65,audio_65.wav,и изменчив и непостояние мы чувствуем все сердце мы умеем останавливать время
66,audio_66.wav,нас открывается удивительная великая тайна
67,audio_67.wav,в целой отеле наш мир — он многогранный
68,audio_68.wav,подпишите на канал
69,audio_69.wav,парень
70,audio_70.wav,танцовский князь
71,audio_71.wav,а
72,audio_72.wav,а
73,audio_73.wav,а вот и все
